AGE, Pay
53,139810
52,53168
51,59395
44,237872
65,239857
31,164295
53,141140
71,185473
24,79154
20,141368
61,90617
18,107538
32,229104
50,203165
59,127340
50,69375
72,64035
54,258131
39,252407
44,68343
32,209023
61,144868
38,182675
75,240887
49,135544
21,189886
48,96675
40,179773
23,156978
61,200521
36,131615
64,121276
76,124371
62,75086
55,251805
21,84245
30,207433
32,212522
21,52716
73,125955
71,166659
69,140465
66,95788
67,107773
75,112457
43,112490
30,224378
70,62316
29,200852
28,101915
32,207805
65,199538
54,95976
58,149653
68,152044
74,228621
33,111643
25,147892
23,77884
70,122695
65,249767
51,55658
53,68213
21,263370
30,206081
26,189383
76,189591
41,225003
68,51339
34,246909
57,151802
64,63061
53,138264
29,153493
51,238252
44,128598
21,72335
39,108455
37,125755
53,70060
25,264647
35,224418
51,101420
26,126064
76,113340
55,130685
66,242172
39,137436
55,193465
62,61433
66,140900
67,230515
68,178579
31,243751
57,78950
58,193463
72,99209
60,63971
76,99662
45,144179
42,260786
51,187725
24,240279
33,229857
32,238842
66,125851
48,154592
50,237401
19,50333
73,211649
41,196666
55,256982
32,72125
59,252821
52,160940
68,121207
69,60973
46,253715
49,172204
74,142730
42,68127
52,57044
51,100899
20,47652
23,140437
40,80513
44,249867
60,229232
69,174898
47,212352
34,151326
30,116217
67,60081
73,57018
42,106239
29,49682
49,260878
59,162492
51,235020
65,211401
52,50512
26,65076
33,228657
45,145916
49,263669
54,87400
52,214830
18,221877
18,152245
54,260074
