AGE, PAY,DEPT
36,124646,HR
74,221099,IT
70,183135,IT
28,211024,HR
42,84402,SALES
66,215291,IT
36,163094,HR
31,93244,SALES
27,251108,HR
57,144857,IT
32,146708,HR
36,202974,SALES
49,172831,SALES
30,169362,IT
71,84471,SALES
42,60612,HR
53,266098,IT
38,184711,SALES
50,171722,IT
72,254028,HR
55,212674,SALES
47,249815,IT
28,258525,HR
28,142800,SALES
39,225382,IT
30,178008,HR
29,62982,IT
76,263325,HR
68,235523,SALES
31,209158,HR
76,201367,IT
31,207667,HR
20,209242,IT
33,200698,SALES
58,57796,HR
26,119753,IT
44,260222,HR
75,57367,SALES
55,162734,IT
76,130278,SALES
61,242525,HR
22,254172,IT
42,102966,IT
66,259239,SALES
51,240291,SALES
66,128619,IT
23,160223,HR
31,253658,HR
63,215637,HR
